Name,State,Saffir-Simpson,Date of closest approach,Year
Unnamed,Texas,Category 3 hurricane,23-Sep,1941
Unnamed,Texas,Category 1 hurricane,21-Aug,1942
Unnamed,Texas,Category 3 hurricane,30-Aug,1942
Unnamed,Texas,Category 2 hurricane,27-Jul,1943
Unnamed,Texas,Category 2 hurricane,27-Aug,1945
Unnamed,Texas,Category 1 hurricane,24-Aug,1947
Unnamed,Texas,Category 2 hurricane,4-Oct,1949
Audrey,Texas,Category 2 hurricane,27-Jun,1957
Debra,Texas,Category 1 hurricane,25-Jul,1959
Carla,Texas,Category 4 hurricane,11-Sep,1961
Beulah,Texas,Category 3 hurricane,20-Sep,1967
Celia,Texas,Category 3 hurricane,3-Aug,1970
Fern,Texas,Category 1 hurricane,10-Sep,1971
Allen,Texas,Category 3 hurricane,10-Aug,1980
Alicia,Texas,Category 3 hurricane,18-Aug,1983
Bonnie,Texas,Category 1 hurricane,28-Jun,1986
Chantal,Texas,Category 1 hurricane,1-Aug,1989
Jerry,Texas,Category 1 hurricane,16-Oct,1989
Bret,Texas,Category 3 hurricane,23-Aug,1999
Claudette,Texas,Category 1 hurricane,15-Jul,2003
Rita,Texas,Category 2 hurricane,24-Sep,2005
Humberto,Texas,Category 1 hurricane,13-Sep,2007
Dolly,Texas,Category 1 hurricane,23-Jul,2008
Ike,Texas,Category 2 hurricane,13-Sep,2008
Harvey,Texas,Category 4 hurricane,26-Aug,2017
Unnamed,Virginia,Category 1 hurricane,17-Sep,1876
Unnamed,Virginia,Category 1 hurricane,23-Oct,1878
Unnamed,Virginia,Category 2 hurricane,18-Aug,1879
Unnamed,Virginia,Category 1 hurricane,13-Oct,1893
Unnamed,Virginia,Category 1 hurricane,29-Sep,1894
Unnamed,Virginia,Category 1 hurricane,30-Sep,1896
